accession	organism	kingdom	length	cleavage_site
Q8I034	Felis catus (Cat) (Felis silvestris catus)	Metazoa	545	28
Q8I0L5	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	59	22
Q8ISL8	Apis mellifera (Honeybee)	Metazoa	78	24
Q8IUH8	Homo sapiens (Human)	Metazoa	684	21
Q8IVL8	Homo sapiens (Human)	Metazoa	374	20
Q8J0K5	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	Fungi	282	39
Q8JFY4	Anguilla japonica (Japanese eel)	Metazoa	111	26
Q8L5C6	Triticum aestivum (Wheat)	Plants	304	30
Q8L5J1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	399	26
Q8MLZ7	Drosophila melanogaster (Fruit fly)	Metazoa	441	23
Q8MM24	Drosophila melanogaster (Fruit fly)	Metazoa	439	20
Q8MMJ7	Opisthacanthus madagascariensis (Scorpion)	Metazoa	68	23
Q8MP06	Tyria jacobaeae (Cinnabar moth)	Metazoa	456	22
Q8MTX2	Opisthacanthus madagascariensis (Scorpion)	Metazoa	71	23
Q8N0W4	Homo sapiens (Human)	Metazoa	816	41
Q8N126	Homo sapiens (Human)	Metazoa	398	24
Q8N441	Homo sapiens (Human)	Metazoa	504	24
Q8N474	Homo sapiens (Human)	Metazoa	314	31
Q8N4F0	Homo sapiens (Human)	Metazoa	458	20
Q8N6C8	Homo sapiens (Human)	Metazoa	439	23
Q8N6Q3	Homo sapiens (Human)	Metazoa	437	21
Q8N766	Homo sapiens (Human)	Metazoa	993	22
Q8NAC3	Homo sapiens (Human)	Metazoa	791	20
Q8NBJ9	Homo sapiens (Human)	Metazoa	832	18
Q8NBK3	Homo sapiens (Human)	Metazoa	374	33
Q8NBL1	Homo sapiens (Human)	Metazoa	392	23
Q8NBM8	Homo sapiens (Human)	Metazoa	494	22
Q8NBN3	Homo sapiens (Human)	Metazoa	555	21
Q8NBP7	Homo sapiens (Human)	Metazoa	692	30
Q8NC67	Homo sapiens (Human)	Metazoa	525	22
Q8NCC3	Homo sapiens (Human)	Metazoa	412	33
Q8NHP8	Homo sapiens (Human)	Metazoa	589	41
Q8NI17	Homo sapiens (Human)	Metazoa	732	19
Q8QGR0	Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	Metazoa	86	21
Q8RUW5	Arabidopsis thaliana (Mouse-ear cress)	Plants	433	19
Q8S2W4	Arabidopsis thaliana (Mouse-ear cress)	Plants	61	22
Q8SPQ0	Capra hircus (Goat)	Metazoa	383	21
Q8SXL2	Drosophila melanogaster (Fruit fly)	Metazoa	136	24
Q8T1G4	Dictyostelium discoideum (Social amoeba)	Other	181	19
Q8TC27	Homo sapiens (Human)	Metazoa	787	16
Q8TCT7	Homo sapiens (Human)	Metazoa	592	25
Q8TCT8	Homo sapiens (Human)	Metazoa	520	25
Q8TD06	Homo sapiens (Human)	Metazoa	166	21
Q8TDQ1	Homo sapiens (Human)	Metazoa	290	19
Q8VCS0	Mus musculus (Mouse)	Metazoa	530	22
Q8VCT4	Mus musculus (Mouse)	Metazoa	565	18
Q8WML4	Bos taurus (Bovine)	Metazoa	580	22
Q8WMP9	Bos taurus (Bovine)	Metazoa	407	29
Q8WP90	Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	Metazoa	153	19
Q8WPJ2	Mytilus edulis (Blue mussel)	Metazoa	367	17
Q8WUJ3	Homo sapiens (Human)	Metazoa	1361	30
Q8WWA0	Homo sapiens (Human)	Metazoa	313	18
Q8WXF3	Homo sapiens (Human)	Metazoa	142	25
Q8WZI8	Aspergillus niger	Fungi	521	17
Q8X150	Gaeumannomyces tritici (Wheat and barley take-all root rot fungus) (Gaeumannomyces graminis var. tritici)	Fungi	618	16
Q90249	Bothrops jararacussu (Jararacussu)	Metazoa	137	16
Q90611	Gallus gallus (Chicken)	Metazoa	663	26
Q90935	Gallus gallus (Chicken)	Metazoa	410	16
Q90W39	Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	Metazoa	138	16
Q90WJ8	Anguilla japonica (Japanese eel)	Metazoa	166	24
Q91XA9	Mus musculus (Mouse)	Metazoa	473	21
Q91XZ2	Mus musculus (Mouse)	Metazoa	779	28
Q91XZ4	Mus musculus (Mouse)	Metazoa	772	28
Q91Z98	Mus musculus (Mouse)	Metazoa	402	21
Q924B5	Rattus norvegicus (Rat)	Metazoa	250	25
Q92563	Homo sapiens (Human)	Metazoa	424	22
Q92583	Homo sapiens (Human)	Metazoa	94	23
Q92643	Homo sapiens (Human)	Metazoa	395	27
Q92765	Homo sapiens (Human)	Metazoa	325	32
Q92956	Homo sapiens (Human)	Metazoa	283	38
Q94734	Rhodnius prolixus (Triatomid bug)	Metazoa	205	21
Q949Y3	Arabidopsis thaliana (Mouse-ear cress)	Plants	475	30
Q94EG3	Nicotiana langsdorffii x Nicotiana sanderae (Ornamental tobacco)	Plants	229	32
Q94K85	Arabidopsis thaliana (Mouse-ear cress)	Plants	359	26
Q95460	Homo sapiens (Human)	Metazoa	341	22
Q95JC9	Sus scrofa (Pig)	Metazoa	676	16
Q95M17	Bos taurus (Bovine)	Metazoa	472	21
Q95P90	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	94	22
Q96318	Arabidopsis thaliana (Mouse-ear cress)	Plants	524	23
Q966V2	Halocynthia roretzi (Sea squirt) (Cynthia roretzi)	Metazoa	388	22
Q968Z6	Dictyostelium discoideum (Social amoeba)	Other	557	19
Q969H8	Homo sapiens (Human)	Metazoa	173	31
Q969J5	Homo sapiens (Human)	Metazoa	263	21
Q969N2	Homo sapiens (Human)	Metazoa	578	21
Q969P0	Homo sapiens (Human)	Metazoa	613	27
Q969Z4	Homo sapiens (Human)	Metazoa	430	25
Q96AP7	Homo sapiens (Human)	Metazoa	390	29
Q96BF3	Homo sapiens (Human)	Metazoa	282	22
Q96BY9	Homo sapiens (Human)	Metazoa	339	30
Q96DR8	Homo sapiens (Human)	Metazoa	90	20
Q96DU3	Homo sapiens (Human)	Metazoa	332	21
Q96F46	Homo sapiens (Human)	Metazoa	866	32
Q96FE7	Homo sapiens (Human)	Metazoa	263	21
Q96HE7	Homo sapiens (Human)	Metazoa	468	23
Q96HF1	Homo sapiens (Human)	Metazoa	295	24
Q96KN2	Homo sapiens (Human)	Metazoa	507	25
Q96LA5	Homo sapiens (Human)	Metazoa	508	19
Q96PD4	Homo sapiens (Human)	Metazoa	163	30
Q96PD5	Homo sapiens (Human)	Metazoa	576	21
Q96RQ9	Homo sapiens (Human)	Metazoa	567	21
Q96S96	Homo sapiens (Human)	Metazoa	227	22
Q96TU3	Aspergillus awamori (Black koji mold)	Fungi	537	19
Q99217	Homo sapiens (Human)	Metazoa	191	16
Q99372	Rattus norvegicus (Rat)	Metazoa	870	27
Q99435	Homo sapiens (Human)	Metazoa	816	21
Q99467	Homo sapiens (Human)	Metazoa	661	23
Q99519	Homo sapiens (Human)	Metazoa	415	47
Q99538	Homo sapiens (Human)	Metazoa	433	17
Q99616	Homo sapiens (Human)	Metazoa	98	16
Q99935	Homo sapiens (Human)	Metazoa	248	21
Q99944	Homo sapiens (Human)	Metazoa	293	25
Q99969	Homo sapiens (Human)	Metazoa	163	20
Q99972	Homo sapiens (Human)	Metazoa	504	32
Q99MA2	Rattus norvegicus (Rat)	Metazoa	674	22
Q99ML8	Mus musculus (Mouse)	Metazoa	113	23
Q9ATH2	Corylus avellana (European hazel) (Corylus maxima)	Plants	115	23
Q9BKB7	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	57	21
Q9BQ51	Homo sapiens (Human)	Metazoa	273	19
Q9BQB4	Homo sapiens (Human)	Metazoa	213	23
Q9BWV1	Homo sapiens (Human)	Metazoa	1114	30
Q9BX59	Homo sapiens (Human)	Metazoa	468	18
Q9BX67	Homo sapiens (Human)	Metazoa	310	31
Q9BX74	Homo sapiens (Human)	Metazoa	207	37
Q9BXI9	Homo sapiens (Human)	Metazoa	278	46
Q9BXJ0	Homo sapiens (Human)	Metazoa	243	15
Q9BXJ3	Homo sapiens (Human)	Metazoa	329	16
Q9BXJ7	Homo sapiens (Human)	Metazoa	453	19
Q9BYZ8	Homo sapiens (Human)	Metazoa	158	22
Q9BZM5	Homo sapiens (Human)	Metazoa	246	25
Q9BZR6	Homo sapiens (Human)	Metazoa	473	26
Q9BZW8	Homo sapiens (Human)	Metazoa	370	21
Q9C0Y4	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Fungi	969	24
Q9C9G4	Arabidopsis thaliana (Mouse-ear cress)	Plants	290	27
Q9D6Y1	Mus musculus (Mouse)	Metazoa	273	21
Q9DF69	Gallus gallus (Chicken)	Metazoa	594	18
Q9DGI0	Bothrops jararaca (Jararaca) (Bothrops jajaraca)	Metazoa	341	19
Q9EQX0	Mus musculus (Mouse)	Metazoa	117	23
Q9ERQ6	Rattus norvegicus (Rat)	Metazoa	571	30
Q9ES58	Rattus norvegicus (Rat)	Metazoa	327	23
Q9FRV0	Secale cereale (Rye)	Plants	266	23
Q9FRV1	Secale cereale (Rye)	Plants	321	19
Q9FSH9	Lupinus albus (White lupine) (Lupinus termis)	Plants	452	33
Q9FXT4	Oryza sativa subsp. japonica (Rice)	Plants	417	55
Q9GKK3	Equus caballus (Horse)	Metazoa	241	15
Q9GL30	Bos taurus (Bovine)	Metazoa	545	35
Q9GQV7	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	128	22
Q9GZM7	Homo sapiens (Human)	Metazoa	467	21
Q9GZV9	Homo sapiens (Human)	Metazoa	251	24
Q9GZX6	Homo sapiens (Human)	Metazoa	179	33
Q9GZZ8	Homo sapiens (Human)	Metazoa	138	19
Q9H1E1	Homo sapiens (Human)	Metazoa	156	28
Q9H1M4	Homo sapiens (Human)	Metazoa	99	20
Q9H293	Homo sapiens (Human)	Metazoa	177	32
Q9H3T3	Homo sapiens (Human)	Metazoa	888	25
Q9H5V8	Homo sapiens (Human)	Metazoa	836	29
Q9H6E4	Homo sapiens (Human)	Metazoa	229	22
Q9H7M9	Homo sapiens (Human)	Metazoa	311	32
Q9H9K5	Homo sapiens (Human)	Metazoa	563	26
Q9HBE5	Homo sapiens (Human)	Metazoa	538	19
Q9HC23	Homo sapiens (Human)	Metazoa	129	27
Q9HE18	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	Fungi	353	18
Q9JI59	Mus musculus (Mouse)	Metazoa	298	28
Q9JJS8	Rattus norvegicus (Rat)	Metazoa	685	19
Q9JLA3	Rattus norvegicus (Rat)	Metazoa	1551	42
Q9JMI7	Mus musculus (Mouse)	Metazoa	250	25
Q9LRC8	Scutellaria baicalensis (Baical skullcap)	Plants	527	25
Q9LVC0	Arabidopsis thaliana (Mouse-ear cress)	Plants	60	28
Q9LXD6	Arabidopsis thaliana (Mouse-ear cress)	Plants	773	23
Q9M653	Polygonatum multiflorum (Solomon's seal) (Convallaria multiflora)	Plants	603	39
Q9M6E9	Abrus precatorius (Indian licorice) (Glycine abrus)	Plants	547	20
Q9N2I2	Bos taurus (Bovine)	Metazoa	404	19
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17
Q9NAX4	Dictyostelium discoideum (Social amoeba)	Other	464	17
Q9NBG9	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	59	22
Q9NII7	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	60	22
Q9NJ98	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	Metazoa	487	19
Q9NL89	Bombyx mori (Silk moth)	Metazoa	495	16
Q9NPA0	Homo sapiens (Human)	Metazoa	242	23
Q9NPF0	Homo sapiens (Human)	Metazoa	282	35
Q9NPG1	Homo sapiens (Human)	Metazoa	666	22
Q9NPR2	Homo sapiens (Human)	Metazoa	837	43
Q9NQ25	Homo sapiens (Human)	Metazoa	335	22
Q9NQ34	Homo sapiens (Human)	Metazoa	198	33
Q9NR16	Homo sapiens (Human)	Metazoa	1453	40
Q9NR61	Homo sapiens (Human)	Metazoa	685	26
Q9NRM6	Homo sapiens (Human)	Metazoa	502	17
Q9NS68	Homo sapiens (Human)	Metazoa	423	29
Q9NSA1	Homo sapiens (Human)	Metazoa	209	28
Q9NWM8	Homo sapiens (Human)	Metazoa	211	19
Q9NYY1	Homo sapiens (Human)	Metazoa	176	24
Q9NZ53	Homo sapiens (Human)	Metazoa	605	32
Q9NZV1	Homo sapiens (Human)	Metazoa	1036	34
Q9P0V8	Homo sapiens (Human)	Metazoa	285	22
Q9P0W0	Homo sapiens (Human)	Metazoa	207	27
Q9P121	Homo sapiens (Human)	Metazoa	344	33
Q9P246	Homo sapiens (Human)	Metazoa	746	14
Q9P2K2	Homo sapiens (Human)	Metazoa	825	27
Q9PTT2	Lepidobatrachus laevis (Budgett's frog)	Metazoa	225	19
Q9PVF4	Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	Metazoa	137	16
Q9PWF3	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	65	22
Q9QXX3	Mus musculus (Mouse)	Metazoa	151	17
Q9QYH7	Rattus norvegicus (Rat)	Metazoa	117	23
Q9R100	Mus musculus (Mouse)	Metazoa	827	25
Q9R1T7	Rattus norvegicus (Rat)	Metazoa	200	20
Q9S7Y7	Arabidopsis thaliana (Mouse-ear cress)	Plants	915	27
Q9SR37	Arabidopsis thaliana (Mouse-ear cress)	Plants	524	24
Q9SU40	Arabidopsis thaliana (Mouse-ear cress)	Plants	587	20
Q9SUQ8	Arabidopsis thaliana (Mouse-ear cress)	Plants	187	29
Q9TSN6	Bubalus bubalis (Domestic water buffalo)	Metazoa	142	18
Q9TTE1	Bos taurus (Bovine)	Metazoa	411	24
Q9TVX3	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	61	28
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22
Q9U572	Penaeus monodon (Giant tiger prawn)	Metazoa	1670	14
Q9U8W8	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	292	23
Q9UAC8	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	85	19
Q9UAD0	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	59	24
Q9UBD3	Homo sapiens (Human)	Metazoa	114	21
Q9UBN6	Homo sapiens (Human)	Metazoa	386	55
Q9UBP4	Homo sapiens (Human)	Metazoa	350	21
Q9UBT3	Homo sapiens (Human)	Metazoa	224	18
Q9UBU3	Homo sapiens (Human)	Metazoa	117	23
Q9UHD0	Homo sapiens (Human)	Metazoa	177	24
Q9UHF4	Homo sapiens (Human)	Metazoa	553	29
Q9UIB8	Homo sapiens (Human)	Metazoa	345	21
Q9UIK5	Homo sapiens (Human)	Metazoa	374	40
Q9UK23	Homo sapiens (Human)	Metazoa	515	25
Q9UK55	Homo sapiens (Human)	Metazoa	444	21
Q9UKY0	Homo sapiens (Human)	Metazoa	176	25
Q9UKZ9	Homo sapiens (Human)	Metazoa	415	23
Q9UNE0	Homo sapiens (Human)	Metazoa	448	26
Q9UVI4	Claviceps fusiformis (Ergot fungus)	Fungi	394	16
Q9V496	Drosophila melanogaster (Fruit fly)	Metazoa	3351	25
Q9VA83	Drosophila melanogaster (Fruit fly)	Metazoa	227	19
Q9VB68	Drosophila melanogaster (Fruit fly)	Metazoa	377	26
Q9VG55	Drosophila melanogaster (Fruit fly)	Metazoa	191	24
Q9VH14	Drosophila melanogaster (Fruit fly)	Metazoa	210	27
Q9VMD9	Drosophila melanogaster (Fruit fly)	Metazoa	2188	18
Q9VYX7	Drosophila melanogaster (Fruit fly)	Metazoa	203	26
Q9WVJ9	Mus musculus (Mouse)	Metazoa	443	27
Q9XIV8	Nicotiana tabacum (Common tobacco)	Plants	330	29
Q9XSW3	Sus scrofa (Pig)	Metazoa	240	18
Q9XXV0	Bombyx mori (Silk moth)	Metazoa	441	21
Q9XYT4	Cryptorchestia cavimana (Amphipod) (Orchestia cavimana)	Metazoa	128	20
Q9Y240	Homo sapiens (Human)	Metazoa	323	21
Q9Y251	Homo sapiens (Human)	Metazoa	543	35
Q9Y258	Homo sapiens (Human)	Metazoa	94	23
Q9Y279	Homo sapiens (Human)	Metazoa	399	19
Q9Y2E5	Homo sapiens (Human)	Metazoa	1009	23
Q9Y2I2	Homo sapiens (Human)	Metazoa	539	28
Q9Y4X3	Homo sapiens (Human)	Metazoa	112	24
Q9Y5C1	Homo sapiens (Human)	Metazoa	460	16
Q9Y5H9	Homo sapiens (Human)	Metazoa	948	22
Q9Y5Q6	Homo sapiens (Human)	Metazoa	135	22
Q9Y5U5	Homo sapiens (Human)	Metazoa	241	25
Q9Y624	Homo sapiens (Human)	Metazoa	299	27
Q9Y653	Homo sapiens (Human)	Metazoa	693	25
Q9Y6C2	Homo sapiens (Human)	Metazoa	1016	21
Q9YH85	Gallus gallus (Chicken)	Metazoa	2120	24
Q9Z0J8	Rattus norvegicus (Rat)	Metazoa	348	31
Q9Z0K8	Mus musculus (Mouse)	Metazoa	512	23
Q9Z0L3	Mus musculus (Mouse)	Metazoa	485	17
Q9Z1K9	Rattus norvegicus (Rat)	Metazoa	827	17
Q9ZT64	Pinus contorta (Shore pine) (Lodgepole pine)	Plants	513	23
Q9ZWA9	Arabidopsis thaliana (Mouse-ear cress)	Plants	451	25
U3FAE1	Micrurus fulvius (Eastern coral snake) (Coluber fulvius)	Metazoa	84	21
U6BLZ9	Penicillium canescens	Fungi	463	26
V5NC32	Agaricus xanthodermus (Poison yellow meadow mushroom)	Fungi	600	25
W8E7D1	Macrovipera lebetinus (Levantine viper) (Vipera lebetina)	Metazoa	851	23
X2JCV5	Cerastes cerastes (Horned desert viper)	Metazoa	516	18
A0A0A1I6E7	Androctonus crassicauda (Arabian fat-tailed scorpion)	Metazoa	74	22
A0A0A1I6N9	Androctonus crassicauda (Arabian fat-tailed scorpion)	Metazoa	74	22
A0A0F7YZQ7	Conus victoriae (Queen Victoria cone)	Metazoa	100	24
A0A0R4I951	Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	Metazoa	70	23
A0A161AT60	Pisum sativum (Garden pea) (Lathyrus oleraceus)	Plants	120	25
A0A1S6EK91	Moringa oleifera (Horseradish tree) (Moringa pterygosperma)	Plants	79	20
A0A2I6QAZ5	Trametes coccinea (strain BRFM310) (Pycnoporus coccineus)	Fungi	428	21
A0A2I6QB00	Trametes coccinea (strain BRFM310) (Pycnoporus coccineus)	Fungi	418	18
A0A2I8B346	Paralithodes camtschaticus (Red king crab) (Maja camtschatica)	Metazoa	62	23
A0A2I8B352	Paralithodes camtschaticus (Red king crab) (Maja camtschatica)	Metazoa	71	23
A0A2I8B353	Paralithodes camtschaticus (Red king crab) (Maja camtschatica)	Metazoa	76	23
A0A4P9I8G4	Waitea arvalis (Laetisaria arvalis)	Fungi	238	20
A0A7E5WUT2	Trichoplusia ni (Cabbage looper)	Metazoa	231	19
A1BQQ5	Conus marmoreus (Marble cone)	Metazoa	289	24
A1IKL2	Anisakis simplex (Herring worm)	Metazoa	152	18
A1X158	Perna viridis (Asian green mussel) (Mytilus viridis)	Metazoa	561	20
A1X159	Perna viridis (Asian green mussel) (Mytilus viridis)	Metazoa	431	20
A1XRN2	Metlapilcoatlus nummifer (Mexican jumping pitviper) (Atropoides nummifer)	Metazoa	166	19
A4LAR6	Grifola frondosa (Maitake) (Polyporus frondosus)	Fungi	107	24
A6MEY4	Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	Metazoa	145	27
A8CG89	Daboia russelii (Russel's viper) (Vipera russelii)	Metazoa	138	16
A8CG90	Daboia russelii (Russel's viper) (Vipera russelii)	Metazoa	137	16
A8Y7P1	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	84	24
B0FHH8	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	Metazoa	151	18
B0KZK1	Acarus siro (Flour mite) (Tyroglyphus farinae)	Metazoa	517	21
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	Fungi	721	18
B1B5I8	Stichodactyla haddoni (Saddle carpet anemone) (Haddon's sea anemone)	Metazoa	81	19
B1P0S1	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	Metazoa	218	23
B2KNH9	Dendrobium findlayanum (Findlay's orchid)	Plants	167	24
B2NHN2	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	Fungi	339	20
B4FZ87	Zea mays (Maize)	Plants	396	31
B5U6Y4	Echis ocellatus (Ocellated saw-scaled viper)	Metazoa	138	16
B5U6Z2	Macrovipera lebetinus transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea)	Metazoa	138	16
B6RLX2	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	83	25
B7FDP2	Centruroides suffusus (Durango bark scorpion)	Metazoa	87	19
B7SNV8	Parabuthus granulatus (Granulated thick-tailed scorpion) (Androctonus granulatus)	Metazoa	82	19
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	Fungi	358	18
B8PYF3	Paspalum notatum (Bahia grass)	Plants	265	23
C0HJQ4	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	61	23
C0HJQ8	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	58	21
C0HJZ1	Arachis hypogaea (Peanut)	Plants	72	25
C0HKC2	Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	Metazoa	137	16
C0HKG0	Clitoria ternatea (Butterfly pea)	Plants	117	25
C0HKG1	Clitoria ternatea (Butterfly pea)	Plants	127	24
C0HL38	Trichonephila clavata (Joro spider) (Nephila clavata)	Metazoa	60	19
C0K3N1	Bitis arietans (African puff adder)	Metazoa	150	24
C1IC47	Walterinnesia aegyptia (Desert black snake)	Metazoa	83	21
C1IC49	Walterinnesia aegyptia (Desert black snake)	Metazoa	86	21
C4NZN9	Hyas araneus (Atlantic lyre crab) (Great spider crab)	Metazoa	131	16
C5P3X6	Coccidioides posadasii (strain C735) (Valley fever fungus)	Fungi	276	18
C7B247	Isometrus maculatus (Lesser brown scorpion) (Scorpio maculatus)	Metazoa	74	22
D0UGJ0	Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis)	Metazoa	139	16
D1MGU0	Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	Metazoa	156	23
D1MGU1	Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	Metazoa	146	23
D3JXM1	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	59	22
D3Z9M3	Rattus norvegicus (Rat)	Metazoa	109	16
D7UQ40	Alternaria solani	Fungi	515	25
E0XKJ9	Tabanus yao (Horsefly)	Metazoa	349	25
E6Y8S8	Apium graveolens (Celery)	Plants	118	27
E7D082	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	87	19
E9NX73	Fagopyrum tataricum (Tartarian buckwheat) (Polygonum tataricum)	Plants	149	22
F1AWB0	Vaejovis mexicanus (Mexican scorpion)	Metazoa	82	22
F1CGT6	Centruroides suffusus (Durango bark scorpion)	Metazoa	82	17
F7J1C8	Flammulina velutipes (Agaricus velutipes)	Fungi	249	21
G1CWH1	Clitoria ternatea (Butterfly pea)	Plants	132	28
G1CWH3	Clitoria ternatea (Butterfly pea)	Plants	123	28
G1CWH5	Clitoria ternatea (Butterfly pea)	Plants	130	25
G1CWH6	Clitoria ternatea (Butterfly pea)	Plants	122	25
G1CWH8	Clitoria ternatea (Butterfly pea)	Plants	123	28
G3MYZ3	Bos taurus (Bovine)	Metazoa	604	21
G4V4F9	Cupiennius salei (American wandering spider)	Metazoa	97	19
G5EC68	Caenorhabditis elegans	Metazoa	85	17
G8YYA5	Androctonus amoreuxi (African fattail scorpion) (Scorpio amoreuxi)	Metazoa	74	22
G8YYA6	Androctonus amoreuxi (African fattail scorpion) (Scorpio amoreuxi)	Metazoa	74	22
G9I929	Micrurus tener tener (Texas coral snake)	Metazoa	84	24
G9I930	Micrurus tener tener (Texas coral snake)	Metazoa	149	30
I6RU32	Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	Metazoa	74	23
I6S7G5	Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	Metazoa	84	16
K9MCH1	Micrurus laticollaris (Balsas coral snake)	Metazoa	81	21
L7VIN3	Hermetia illucens (Black soldier fly)	Metazoa	69	23
L8BRS3	Morus alba (White mulberry)	Plants	209	18
M5AXY1	Felis catus (Cat) (Felis silvestris catus)	Metazoa	201	18
O02826	Sus scrofa (Pig)	Metazoa	111	20
O18994	Sus scrofa (Pig)	Metazoa	219	21
O22317	Musa acuminata (Banana) (Musa cavendishii)	Plants	340	28
O35806	Rattus norvegicus (Rat)	Metazoa	1764	35
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	Fungi	110	32
O46162	Schistocerca gregaria (Desert locust) (Gryllus gregarius)	Metazoa	92	19
O46166	Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	Metazoa	68	17
O46167	Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	Metazoa	68	17
O46168	Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	Metazoa	68	17
O48818	Arabidopsis thaliana (Mouse-ear cress)	Plants	257	20
O59896	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)	Fungi	518	21
O64393	Triticum aestivum (Wheat)	Plants	148	23
O70280	Rattus norvegicus (Rat)	Metazoa	212	26
O75596	Homo sapiens (Human)	Metazoa	197	22
O75711	Homo sapiens (Human)	Metazoa	98	20
O76942	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	Fungi	395	22
O77061	Apis mellifera (Honeybee)	Metazoa	452	17
O77541	Oryctolagus cuniculus (Rabbit)	Metazoa	124	24
O82337	Arabidopsis thaliana (Mouse-ear cress)	Plants	73	26
O93233	Gloydius brevicaudus siniticus (Chinese mamushi) (Agkistrodon blomhoffii siniticus)	Metazoa	331	23
O93426	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	158	23
O93427	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	148	23
O96559	Cimex lectularius (Bed bug) (Acanthia lectularia)	Metazoa	364	35
O96910	Aplysia californica (California sea hare)	Metazoa	76	18
P00623	Crotalus adamanteus (Eastern diamondback rattlesnake)	Metazoa	138	16
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	130	26
P00683	Mus musculus (Mouse)	Metazoa	149	25
P00705	Anas platyrhynchos (Mallard) (Anas boschas)	Metazoa	147	18
P00987	Bungarus multicinctus (Many-banded krait)	Metazoa	85	24
P00989	Bungarus multicinctus (Many-banded krait)	Metazoa	85	24
P00991	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	90	24
P00992	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	93	24
P01038	Gallus gallus (Chicken)	Metazoa	139	23
P01068	Ananas comosus (Pineapple) (Ananas ananas)	Plants	246	19
P01070	Glycine max (Soybean) (Glycine hispida)	Plants	216	24
P01086	Hordeum vulgare (Barley)	Plants	148	24
P01088	Zea mays (Maize)	Plants	155	28
P01170	Lophius americanus (American monkfish)	Metazoa	125	24
P01217	Bos taurus (Bovine)	Metazoa	120	24
