accession	organism	kingdom	length	tm_in_first_90
Q09X19	Morus	Plants	100	False
Q09X28	Morus	Plants	236	False
Q09X35	Morus	Plants	89	False
Q09X36	Morus	Plants	505	False
Q0D289	Danio	Metazoa	167	True
Q0G9F6	Liriodendron	Plants	93	False
Q0G9F8	Liriodendron	Plants	77	False
Q0G9G2	Liriodendron	Plants	90	False
Q0G9H1	Liriodendron	Plants	57	False
Q0G9H9	Liriodendron	Plants	92	False
Q0G9I0	Liriodendron	Plants	219	False
Q0G9I1	Liriodendron	Plants	133	False
Q0G9I2	Liriodendron	Plants	122	False
Q0G9I3	Liriodendron	Plants	132	False
Q0G9I6	Liriodendron	Plants	138	False
Q0G9J5	Liriodendron	Plants	118	False
Q0G9J6	Liriodendron	Plants	117	False
Q0G9M1	Liriodendron	Plants	100	False
Q0G9N0	Liriodendron	Plants	236	False
Q0G9N7	Liriodendron	Plants	86	False
Q0G9Q0	Daucus sect. Daucus	Plants	93	False
Q0G9Q5	Daucus sect. Daucus	Plants	90	False
Q0G9R4	Daucus sect. Daucus	Plants	55	False
Q0G9S1	Daucus sect. Daucus	Plants	92	False
Q0G9S2	Daucus sect. Daucus	Plants	165	False
Q0G9S3	Daucus sect. Daucus	Plants	218	False
Q0G9S4	Daucus sect. Daucus	Plants	135	False
Q0G9S5	Daucus sect. Daucus	Plants	122	False
Q0G9S6	Daucus sect. Daucus	Plants	134	False
Q0G9S9	Daucus sect. Daucus	Plants	138	False
Q0G9T8	Daucus sect. Daucus	Plants	123	False
Q0G9T9	Daucus sect. Daucus	Plants	128	False
Q0G9U0	Daucus sect. Daucus	Plants	101	False
Q0G9W4	Daucus sect. Daucus	Plants	100	False
Q0G9X3	Daucus sect. Daucus	Plants	236	False
Q0G9Y0	Daucus sect. Daucus	Plants	78	False
Q0G9Y1	Daucus sect. Daucus	Plants	512	False
Q0H8X7	Mycosarcoma	Fungi	121	False
Q0H8X9	Mycosarcoma	Fungi	174	False
Q0H8Y5	Mycosarcoma	Fungi	48	True
Q0H8Z0	Mycosarcoma	Fungi	266	False
Q0H8Z1	Mycosarcoma	Fungi	136	False
Q0H8Z2	Mycosarcoma	Fungi	43	False
Q0H8Z3	Mycosarcoma	Fungi	268	False
Q0P3J7	Ostreococcus	Plants	111	False
Q0P3K4	Ostreococcus	Plants	100	False
Q0P3K9	Ostreococcus	Plants	127	False
Q0P3L1	Ostreococcus	Plants	130	False
Q0P3L3	Ostreococcus	Plants	122	False
Q0P3L4	Ostreococcus	Plants	184	False
Q0P3L5	Ostreococcus	Plants	119	False
Q0P3L6	Ostreococcus	Plants	141	False
Q0P3L7	Ostreococcus	Plants	211	False
Q0P3L8	Ostreococcus	Plants	92	False
Q0P3M0	Ostreococcus	Plants	87	False
Q0P3M3	Ostreococcus	Plants	226	False
Q0P3M9	Ostreococcus	Plants	124	False
Q0P3N0	Ostreococcus	Plants	70	False
Q0P3N5	Ostreococcus	Plants	1260	False
Q0P3P5	Ostreococcus	Plants	72	False
Q0PUX0	Prunus	Plants	93	False
Q0PUX7	Fragaria	Plants	93	False
Q0QZR6	Agrostis	Plants	511	False
Q0U6H9	Parastagonospora nodorum	Fungi	245	False
Q0WPE9	Arabidopsis	Plants	538	True
Q0WPT7	Arabidopsis	Plants	352	False
Q0ZIV5	Vitis	Plants	93	False
Q0ZIV7	Vitis	Plants	77	False
Q0ZIW1	Vitis	Plants	88	False
Q0ZIX0	Vitis	Plants	57	False
Q0ZIX8	Vitis	Plants	92	False
Q0ZIY0	Vitis	Plants	218	False
Q0ZIY1	Vitis	Plants	135	False
Q0ZIY2	Vitis	Plants	122	False
Q0ZIY3	Vitis	Plants	134	False
Q0ZIY6	Vitis	Plants	138	False
Q0ZIZ7	Vitis	Plants	117	False
Q0ZIZ8	Vitis	Plants	101	False
Q0ZJ22	Vitis	Plants	100	False
Q0ZJ31	Vitis	Plants	236	False
Q0ZJ38	Vitis	Plants	91	False
Q0ZJ39	Vitis	Plants	502	False
Q10073	Schizosaccharomyces pombe	Fungi	211	False
Q10139	Schizosaccharomyces pombe	Fungi	105	False
Q10215	Schizosaccharomyces pombe	Fungi	142	False
Q10262	Schizosaccharomyces pombe	Fungi	131	False
Q10267	Schizosaccharomyces pombe	Fungi	278	False
Q10308	Schizosaccharomyces pombe	Fungi	269	False
Q10333	Schizosaccharomyces pombe	Fungi	238	False
Q10440	Schizosaccharomyces pombe	Fungi	139	False
Q10K62	Oryza sativa	Plants	330	False
Q12032	Saccharomyces cerevisiae	Fungi	185	False
Q12298	Saccharomyces cerevisiae	Fungi	539	False
Q12497	Saccharomyces cerevisiae	Fungi	93	False
Q14F94	Populus	Plants	92	False
Q14F96	Populus	Plants	93	False
Q14FA1	Populus	Plants	90	False
Q14FB1	Populus	Plants	123	False
Q14FB8	Populus	Plants	132	False
Q14FB9	Populus	Plants	218	False
Q14FC0	Populus	Plants	135	False
Q14FC1	Populus	Plants	122	False
Q14FC2	Populus	Plants	134	False
Q14FC4	Populus	Plants	138	False
Q14FD4	Populus	Plants	117	False
Q14FD5	Populus	Plants	101	False
Q14FF9	Populus	Plants	100	False
Q14FG8	Populus	Plants	236	False
Q14FH5	Populus	Plants	510	False
Q17232	Bombyx	Metazoa	479	True
Q19V71	Chlorokybus	Plants	156	False
Q19V72	Chlorokybus	Plants	123	False
Q19V75	Chlorokybus	Plants	71	False
Q19V76	Chlorokybus	Plants	115	False
Q19V89	Chlorokybus	Plants	100	False
Q19VA1	Chlorokybus	Plants	228	False
Q19VA9	Chlorokybus	Plants	92	False
Q19VB0	Chlorokybus	Plants	217	False
Q19VB1	Chlorokybus	Plants	143	False
Q19VB2	Chlorokybus	Plants	122	False
Q19VB3	Chlorokybus	Plants	133	False
Q19VB6	Chlorokybus	Plants	130	False
Q1ACF1	Chara	Plants	67	False
Q1ACF2	Chara	Plants	113	False
Q1ACF5	Chara	Plants	92	False
Q1ACF7	Chara	Plants	92	False
Q1ACF8	Chara	Plants	123	False
Q1ACF9	Chara	Plants	219	False
Q1ACG0	Chara	Plants	144	False
Q1ACG1	Chara	Plants	122	False
Q1ACG2	Chara	Plants	189	False
Q1ACG3	Chara	Plants	134	False
Q1ACG6	Chara	Plants	130	False
Q1ACG9	Chara	Plants	135	False
Q1ACH8	Chara	Plants	114	False
Q1ACK9	Chara	Plants	516	False
Q1ACL0	Chara	Plants	326	False
Q1ACL1	Chara	Plants	78	False
Q1ACL2	Chara	Plants	100	False
Q1ACN3	Chara	Plants	230	False
Q1ACP2	Chara	Plants	156	False
Q1ACP3	Chara	Plants	123	False
Q1K5R0	Neurospora crassa	Fungi	108	False
Q1K699	Neurospora crassa	Fungi	303	False
Q1K6Q3	Neurospora crassa	Fungi	236	False
Q1K7P9	Neurospora crassa	Fungi	140	False
Q1K8C8	Neurospora crassa	Fungi	193	False
Q1K8Y7	Neurospora crassa	Fungi	161	False
Q1KVR0	Tetradesmus	Plants	138	False
Q1KVR1	Tetradesmus	Plants	121	False
Q1KVR2	Tetradesmus	Plants	180	False
Q1KVR3	Tetradesmus	Plants	136	False
Q1KVR6	Tetradesmus	Plants	148	False
Q1KVT6	Tetradesmus	Plants	90	False
Q1KVT8	Tetradesmus	Plants	93	False
Q1KVT9	Tetradesmus	Plants	100	False
Q1KVU3	Tetradesmus	Plants	132	False
Q1KVU9	Tetradesmus	Plants	114	False
Q1KVV1	Tetradesmus	Plants	130	False
Q1KVV8	Tetradesmus	Plants	379	False
Q1KVV9	Tetradesmus	Plants	532	False
Q1KVW4	Tetradesmus	Plants	167	False
Q1KVX0	Tetradesmus	Plants	130	False
Q1KVX7	Tetradesmus	Plants	700	False
Q1KXP5	Helianthus	Plants	93	False
Q1KXP9	Helianthus	Plants	53	False
Q1KXQ1	Helianthus	Plants	54	False
Q1KXR0	Helianthus	Plants	92	False
Q1KXR8	Helianthus	Plants	92	False
Q1KXR9	Helianthus	Plants	154	False
Q1KXS0	Helianthus	Plants	218	False
Q1KXS1	Helianthus	Plants	136	False
Q1KXS2	Helianthus	Plants	122	False
Q1KXS3	Helianthus	Plants	134	False
Q1KXS6	Helianthus	Plants	136	False
Q1KXT6	Helianthus	Plants	126	False
Q1KXT7	Helianthus	Plants	101	False
Q1KXW1	Helianthus	Plants	100	False
Q1KXW9	Helianthus	Plants	236	False
Q1KXX7	Helianthus	Plants	88	False
Q1KXX8	Helianthus	Plants	500	False
Q1KXY0	Helianthus	Plants	118	False
Q1MTN8	Schizosaccharomyces pombe	Fungi	336	False
Q1XDA3	Pyropia	Other	107	False
Q1XDA5	Pyropia	Other	263	False
Q1XDB1	Pyropia	Other	75	False
Q1XDC2	Pyropia	Other	232	False
Q1XDC8	Pyropia	Other	109	False
Q1XDD2	Pyropia	Other	48	False
Q1XDD4	Pyropia	Other	95	False
Q1XDD5	Pyropia	Other	82	False
Q1XDD6	Pyropia	Other	102	False
Q1XDD9	Pyropia	Other	430	False
Q1XDE2	Pyropia	Other	263	False
Q1XDE4	Pyropia	Other	222	False
Q1XDE5	Pyropia	Other	237	False
Q1XDE8	Pyropia	Other	129	False
Q1XDE9	Pyropia	Other	229	False
Q1XDF0	Pyropia	Other	141	False
Q1XDF2	Pyropia	Other	155	False
Q1XDF5	Pyropia	Other	123	False
Q1XDG8	Pyropia	Other	100	False
Q1XDH2	Pyropia	Other	621	False
Q1XDH6	Pyropia	Other	110	False
Q1XDH8	Pyropia	Other	92	False
Q1XDH9	Pyropia	Other	117	False
Q1XDI0	Pyropia	Other	230	False
Q1XDI1	Pyropia	Other	139	False
Q1XDI2	Pyropia	Other	68	False
Q1XDI3	Pyropia	Other	83	False
Q1XDI4	Pyropia	Other	122	False
Q1XDI5	Pyropia	Other	116	False
Q1XDI6	Pyropia	Other	181	False
Q1XDI7	Pyropia	Other	133	False
Q1XDI8	Pyropia	Other	180	False
Q1XDI9	Pyropia	Other	120	False
Q1XDJ4	Pyropia	Other	130	False
Q1XDJ6	Pyropia	Other	142	False
Q1XDJ7	Pyropia	Other	137	False
Q1XDJ8	Pyropia	Other	70	False
Q1XDJ9	Pyropia	Other	124	False
Q1XDK0	Pyropia	Other	156	False
Q1XDK5	Pyropia	Other	158	False
Q1XDK9	Pyropia	Other	349	False
Q1XDL6	Pyropia	Other	65	False
Q1XDL7	Pyropia	Other	115	False
Q1XDL8	Pyropia	Other	323	False
Q1XDM0	Pyropia	Other	346	False
Q1XDM1	Pyropia	Other	331	False
Q1XDN0	Pyropia	Other	768	False
Q1XDN1	Pyropia	Other	70	False
Q1XDN3	Pyropia	Other	112	False
Q1XDN4	Pyropia	Other	95	False
Q1XDN8	Pyropia	Other	242	False
Q1XDN9	Pyropia	Other	220	False
Q1XDP6	Pyropia	Other	251	False
Q1XDP9	Pyropia	Other	319	False
Q1XDQ2	Pyropia	Other	149	False
Q1XDQ6	Pyropia	Other	182	False
Q1XDQ9	Pyropia	Other	300	False
Q1XDR9	Pyropia	Other	114	False
Q1XDS7	Pyropia	Other	86	False
Q1XDS8	Pyropia	Other	104	False
Q1XDT0	Pyropia	Other	59	False
Q1XDT2	Pyropia	Other	317	False
Q1XDU5	Pyropia	Other	174	False
Q1XDU6	Pyropia	Other	178	False
Q1XDU7	Pyropia	Other	46	False
Q1XDU8	Pyropia	Other	492	False
Q20EU9	Oltmannsiellopsis	Plants	49	False
Q20EV0	Oltmannsiellopsis	Plants	100	False
Q20EV1	Oltmannsiellopsis	Plants	116	False
Q20EV2	Oltmannsiellopsis	Plants	78	False
Q20EV4	Oltmannsiellopsis	Plants	316	False
Q20EV5	Oltmannsiellopsis	Plants	238	False
Q20EW0	Oltmannsiellopsis	Plants	125	False
Q20EW1	Oltmannsiellopsis	Plants	156	False
Q20F00	Oltmannsiellopsis	Plants	129	False
Q20F01	Oltmannsiellopsis	Plants	125	False
Q20F03	Oltmannsiellopsis	Plants	129	False
Q20F06	Oltmannsiellopsis	Plants	129	False
Q20F07	Oltmannsiellopsis	Plants	180	False
Q20F08	Oltmannsiellopsis	Plants	122	False
Q20F09	Oltmannsiellopsis	Plants	134	False
Q20F10	Oltmannsiellopsis	Plants	235	False
Q20F11	Oltmannsiellopsis	Plants	92	False
Q20F14	Oltmannsiellopsis	Plants	90	False
Q23884	Dictyostelium	Other	172	False
Q23886	Dictyostelium	Other	140	False
Q23888	Dictyostelium	Other	266	False
Q23889	Dictyostelium	Other	87	False
Q24JP1	Aspergillus fumigatus	Fungi	272	True
Q25188	Heliothis	Metazoa	477	True
Q25423	lizard Leishmania	Other	187	False
Q27S09	Solanum	Plants	92	False
Q27S25	Solanum	Plants	123	False
Q27S52	Solanum	Plants	100	False
Q2EEV4	unclassified Helicosporidium	Plants	120	False
Q2EEV9	unclassified Helicosporidium	Plants	117	False
Q2EEW0	unclassified Helicosporidium	Plants	241	False
Q2EEW1	unclassified Helicosporidium	Plants	137	False
Q2EEW2	unclassified Helicosporidium	Plants	122	False
Q2EEW3	unclassified Helicosporidium	Plants	181	False
Q2EEW4	unclassified Helicosporidium	Plants	136	False
Q2EEW6	unclassified Helicosporidium	Plants	154	False
Q2EEW7	unclassified Helicosporidium	Plants	246	False
Q2EEW8	unclassified Helicosporidium	Plants	135	False
Q2EEX1	unclassified Helicosporidium	Plants	173	False
Q2EEX3	unclassified Helicosporidium	Plants	101	False
Q2HJF1	Bos	Metazoa	112	False
Q2KI49	Bos	Metazoa	159	False
Q2L8Y5	Gossypium	Plants	123	False
Q2L8Y7	Gossypium	Plants	88	False
Q2L8Z6	Gossypium	Plants	236	False
Q2L904	Gossypium	Plants	100	False
Q2L927	Gossypium	Plants	117	False
Q2L928	Gossypium	Plants	101	False
Q2L937	Gossypium	Plants	138	False
Q2L940	Gossypium	Plants	135	False
Q2L941	Gossypium	Plants	122	False
Q2L942	Gossypium	Plants	134	False
Q2L943	Gossypium	Plants	93	False
Q2L945	Gossypium	Plants	92	False
Q2L946	Gossypium	Plants	218	False
Q2L948	Gossypium	Plants	45	False
Q2L954	Gossypium	Plants	90	False
Q2L961	Gossypium	Plants	54	False
Q2LCP0	Dictyostelium	Other	152	False
Q2LCP1	Dictyostelium	Other	170	False
Q2LCP2	Dictyostelium	Other	170	False
Q2LCP8	Dictyostelium	Other	491	True
Q2LCQ7	Dictyostelium	Other	519	False
Q2LCR7	Dictyostelium	Other	148	False
Q2LCR8	Dictyostelium	Other	162	False
Q2LCR9	Dictyostelium	Other	266	False
Q2LL16	Macaca	Metazoa	322	True
Q2MI39	Solanum subgen. Lycopersicon	Plants	87	False
Q2MI43	Solanum subgen. Lycopersicon	Plants	87	False
Q2MI58	Solanum subgen. Lycopersicon	Plants	93	False
Q2MI60	Solanum subgen. Lycopersicon	Plants	92	False
Q2MI61	Solanum subgen. Lycopersicon	Plants	155	False
Q2MI62	Solanum subgen. Lycopersicon	Plants	218	False
Q2MI63	Solanum subgen. Lycopersicon	Plants	134	False
Q2MI64	Solanum subgen. Lycopersicon	Plants	122	False
Q2MI65	Solanum subgen. Lycopersicon	Plants	134	False
Q2MI68	Solanum subgen. Lycopersicon	Plants	138	False
Q2MI77	Solanum subgen. Lycopersicon	Plants	128	False
Q2MI78	Solanum subgen. Lycopersicon	Plants	101	False
Q2MIA2	Solanum subgen. Lycopersicon	Plants	100	False
Q2MIB1	Solanum subgen. Lycopersicon	Plants	236	False
Q2MIB8	Solanum subgen. Lycopersicon	Plants	88	False
Q2MIB9	Solanum subgen. Lycopersicon	Plants	509	False
Q2MIC2	Solanum subgen. Lycopersicon	Plants	123	False
Q2MID0	Solanum	Plants	87	False
Q2MID9	Solanum	Plants	55	False
Q2MIE3	Solanum	Plants	87	False
Q2MIE5	Solanum	Plants	93	False
Q2MIE7	Solanum	Plants	92	False
Q2MIE8	Solanum	Plants	155	False
Q2MIE9	Solanum	Plants	218	False
Q2MIF0	Solanum	Plants	134	False
Q2MIF1	Solanum	Plants	122	False
Q2MIF2	Solanum	Plants	134	False
Q2MIF5	Solanum	Plants	138	False
Q2MIG4	Solanum	Plants	128	False
Q2MIG5	Solanum	Plants	101	False
Q2MII9	Solanum	Plants	100	False
Q2MIJ8	Solanum	Plants	236	False
Q2MIK5	Solanum	Plants	88	False
Q2MIK6	Solanum	Plants	509	False
Q2MIK8	Solanum	Plants	123	False
Q2PMM4	Glycine subgen. Soja	Plants	93	False
Q2PMN0	Glycine subgen. Soja	Plants	53	False
Q2PMN9	Glycine subgen. Soja	Plants	90	False
Q2PMP7	Glycine subgen. Soja	Plants	216	False
Q2PMP8	Glycine subgen. Soja	Plants	135	False
Q2PMP9	Glycine subgen. Soja	Plants	122	False
Q2PMQ0	Glycine subgen. Soja	Plants	134	False
Q2PMQ2	Glycine subgen. Soja	Plants	138	False
Q2PMR2	Glycine subgen. Soja	Plants	103	False
Q2PMS5	Glycine subgen. Soja	Plants	89	False
Q2PMT2	Glycine subgen. Soja	Plants	236	False
Q2PMU1	Glycine subgen. Soja	Plants	100	False
Q2QD42	Cucumis	Plants	54	False
Q2QDA6	Cucumis	Plants	85	False
Q2QDA7	Cucumis	Plants	504	False
Q2TBS2	Bos	Metazoa	209	False
Q2TZA3	Aspergillus oryzae	Fungi	238	False
Q2VEC4	Solanum	Plants	87	False
Q2VED2	Solanum	Plants	55	False
Q2VED6	Solanum	Plants	87	False
Q2VED8	Solanum	Plants	93	False
Q2VEE1	Solanum	Plants	155	False
Q2VEE2	Solanum	Plants	218	False
Q2VEE3	Solanum	Plants	134	False
Q2VEE4	Solanum	Plants	122	False
Q2VEE5	Solanum	Plants	134	False
Q2VEE7	Solanum	Plants	138	False
Q2VEF5	Solanum	Plants	128	False
Q2VEF6	Solanum	Plants	101	False
Q2VEI7	Solanum	Plants	236	False
Q2WGC1	Selaginella	Plants	99	False
Q2WGF1	Selaginella	Plants	133	False
Q2WGI1	Selaginella	Plants	534	False
Q32001	Chlamydomonas	Plants	218	False
Q32065	Chlamydomonas	Plants	2971	False
Q32759	Oryza sativa	Plants	89	False
Q32766	Oryza sativa	Plants	85	False
Q32RF8	Zygnema	Plants	118	False
Q32RH2	Zygnema	Plants	85	False
Q32RK4	Zygnema	Plants	87	False
Q32RL3	Zygnema	Plants	531	False
Q32RM2	Zygnema	Plants	325	False
Q32RM9	Zygnema	Plants	130	False
Q32RN2	Zygnema	Plants	132	False
Q32RN3	Zygnema	Plants	184	False
Q32RN4	Zygnema	Plants	122	False
Q32RN5	Zygnema	Plants	141	False
Q32RN6	Zygnema	Plants	236	False
Q32RN7	Zygnema	Plants	93	False
Q32RN9	Zygnema	Plants	89	False
Q32RP7	Zygnema	Plants	155	False
Q32RP8	Zygnema	Plants	87	False
Q32RQ0	Zygnema	Plants	235	False
Q32RQ2	Zygnema	Plants	100	False
Q32RQ8	Zygnema	Plants	117	False
Q32RQ9	Zygnema	Plants	123	False
Q32RS0	Staurastrum	Plants	328	False
Q32RS1	Staurastrum	Plants	79	False
Q32RS5	Staurastrum	Plants	100	False
Q32RT9	Staurastrum	Plants	113	False
Q32RU8	Staurastrum	Plants	130	False
Q32RV1	Staurastrum	Plants	132	False
Q32RV2	Staurastrum	Plants	122	False
Q32RV3	Staurastrum	Plants	141	False
Q32RV4	Staurastrum	Plants	219	False
Q32RV5	Staurastrum	Plants	132	False
Q32RV6	Staurastrum	Plants	92	False
Q32RV8	Staurastrum	Plants	89	False
Q32RW0	Staurastrum	Plants	155	False
Q32RY1	Staurastrum	Plants	233	False
Q32RZ3	Staurastrum	Plants	565	False
Q32S00	Staurastrum	Plants	111	False
Q32S07	Staurastrum	Plants	114	False
Q32S12	Staurastrum	Plants	123	False
Q332R6	Lactuca	Plants	93	False
Q332S0	Lactuca	Plants	92	False
Q332S9	Lactuca	Plants	54	False
Q332T6	Lactuca	Plants	92	False
Q332T7	Lactuca	Plants	157	False
Q332T8	Lactuca	Plants	218	False
Q332T9	Lactuca	Plants	135	False
Q332U0	Lactuca	Plants	122	False
Q332U1	Lactuca	Plants	134	False
Q332U4	Lactuca	Plants	136	False
Q332V3	Lactuca	Plants	118	False
Q332V5	Lactuca	Plants	126	False
Q332V6	Lactuca	Plants	101	False
Q332Y0	Lactuca	Plants	100	False
Q332Z6	Lactuca	Plants	88	False
Q332Z7	Lactuca	Plants	506	False
Q33569	Trypanoplasma	Other	87	False
Q33819	Patiria	Metazoa	354	True
Q33822	Patiria	Metazoa	54	True
Q33823	Patiria	Metazoa	230	True
Q33994	Beta	Plants	192	False
Q33BV4	Nicotiana	Plants	87	False
Q33BW5	Nicotiana	Plants	87	False
Q33BX4	Nicotiana	Plants	55	False
Q33BY9	Nicotiana	Plants	93	False
Q33BZ1	Nicotiana	Plants	92	False
Q33BZ2	Nicotiana	Plants	155	False
Q33BZ3	Nicotiana	Plants	218	False
Q33BZ5	Nicotiana	Plants	134	False
Q33BZ6	Nicotiana	Plants	122	False
Q33BZ7	Nicotiana	Plants	134	False
Q33BZ9	Nicotiana	Plants	138	False
Q33C08	Nicotiana	Plants	123	False
Q33C09	Nicotiana	Plants	128	False
Q33C10	Nicotiana	Plants	101	False
Q33C38	Nicotiana	Plants	100	False
Q33C49	Nicotiana	Plants	236	False
Q33C57	Nicotiana	Plants	85	False
Q34011	Patellifolia	Plants	192	False
Q34807	Wickerhamomyces	Fungi	231	False
Q34940	lizard Leishmania	Other	85	False
Q34942	Lumbricus terrestris complex	Metazoa	53	True
Q34951	Lumbricus terrestris complex	Metazoa	335	True
Q35905	Saccharomyces	Fungi	373	False
Q36426	Locusta	Metazoa	342	True
Q36570	Nicotiana quadrivalvis	Plants	92	False
Q36580	Neurospora crassa	Fungi	304	False
Q36838	Trichophyton	Fungi	48	True
Q36907	Zea	Plants	173	False
Q36996	Oryza sativa	Plants	137	False
Q36997	Zea	Plants	85	False
Q37066	Oryza sativa	Plants	249	False
Q37082	Zea	Plants	137	False
Q37106	Cyanophora	Other	618	False
Q37376	Acanthamoeba	Other	527	True
Q37383	Acanthamoeba	Other	195	False
Q37704	Artemia	Metazoa	296	True
Q37707	Artemia	Metazoa	53	True
Q39727	Euglena	Other	569	False
Q39818	Glycine subgen. Soja	Plants	211	False
Q3BAH0	Phalaenopsis aphrodite	Plants	92	False
Q3BAH2	Phalaenopsis aphrodite	Plants	93	False
Q3BAH6	Phalaenopsis aphrodite	Plants	91	False
Q3BAI0	Phalaenopsis aphrodite	Plants	57	False
Q3BAJ7	Phalaenopsis aphrodite	Plants	119	False
Q3BAJ8	Phalaenopsis aphrodite	Plants	218	False
Q3BAJ9	Phalaenopsis aphrodite	Plants	135	False
Q3BAK0	Phalaenopsis aphrodite	Plants	122	False
Q3BAK1	Phalaenopsis aphrodite	Plants	131	False
Q3BAK4	Phalaenopsis aphrodite	Plants	138	False
Q3BAL6	Phalaenopsis aphrodite	Plants	117	False
Q3BAP2	Phalaenopsis aphrodite	Plants	100	False
Q3BAQ3	Phalaenopsis aphrodite	Plants	236	False
Q3BAR0	Phalaenopsis aphrodite	Plants	94	False
Q3BAR2	Phalaenopsis aphrodite	Plants	446	False
Q3BAR5	Phalaenopsis aphrodite	Plants	123	False
Q3C1G1	Nicotiana	Plants	85	False
Q3C1H0	Nicotiana	Plants	236	False
Q3C1I0	Nicotiana	Plants	100	False
Q3C1K5	Nicotiana	Plants	123	False
Q3C1K6	Nicotiana	Plants	128	False
Q3C1K7	Nicotiana	Plants	101	False
Q3C1L5	Nicotiana	Plants	155	False
Q3C1L6	Nicotiana	Plants	218	False
Q3C1L8	Nicotiana	Plants	134	False
Q3C1L9	Nicotiana	Plants	122	False
Q3C1M0	Nicotiana	Plants	134	False
Q3C1M2	Nicotiana	Plants	138	False
Q3C1N3	Nicotiana	Plants	87	False
Q3C1N5	Nicotiana	Plants	93	False
Q3C1N7	Nicotiana	Plants	92	False
Q3C1N8	Nicotiana	Plants	55	False
Q3C1P7	Nicotiana	Plants	87	False
Q3E756	Saccharomyces cerevisiae	Fungi	94	False
Q3E7A3	Saccharomyces cerevisiae	Fungi	74	True
Q3E7A9	Saccharomyces cerevisiae	Fungi	73	False
Q3E823	Saccharomyces cerevisiae	Fungi	68	False
Q3EB59	Arabidopsis	Plants	212	True
Q3HT77	Ehretia	Plants	502	False
Q3LFX6	Phalaenopsis	Plants	517	False
Q3MHG6	Bos	Metazoa	387	False
Q3MKA1	Portulacaria	Plants	505	False
Q3MKB3	Pereskia	Plants	509	False
Q3MKB9	Portulaca	Plants	509	False
Q3T8Q6	Magnolia	Plants	507	False
Q3V4X2	Acorus	Plants	93	False
Q3V4X7	Acorus	Plants	90	False
Q3V4Y6	Acorus	Plants	57	False
Q3V4Z3	Acorus	Plants	92	False
Q3V4Z4	Acorus	Plants	127	False
Q3V4Z5	Acorus	Plants	218	False
Q3V4Z6	Acorus	Plants	135	False
Q3V4Z7	Acorus	Plants	122	False
Q3V4Z8	Acorus	Plants	132	False
Q3V501	Acorus	Plants	138	False
Q3V510	Acorus	Plants	123	False
Q3V512	Acorus	Plants	117	False
Q3V513	Acorus	Plants	101	False
Q3V536	Acorus	Plants	100	False
Q3V545	Acorus	Plants	236	False
Q3ZIZ0	Tupiella	Plants	306	False
Q3ZIZ5	Tupiella	Plants	258	False
Q3ZJ05	Tupiella	Plants	56	False
Q3ZJ23	Tupiella	Plants	100	False
Q3ZJ37	Tupiella	Plants	114	False
Q3ZJ38	Tupiella	Plants	85	False
Q3ZJ40	Tupiella	Plants	141	False
Q3ZJ41	Tupiella	Plants	129	False
Q3ZJ47	Tupiella	Plants	125	False
Q3ZJ48	Tupiella	Plants	156	False
Q3ZJ78	Tupiella	Plants	130	False
Q3ZJ81	Tupiella	Plants	131	False
Q3ZJ82	Tupiella	Plants	180	False
Q3ZJ83	Tupiella	Plants	122	False
Q3ZJ84	Tupiella	Plants	137	False
Q3ZJ85	Tupiella	Plants	229	False
Q3ZJ86	Tupiella	Plants	92	False
Q3ZJ88	Tupiella	Plants	94	False
Q40070	Hordeum	Plants	138	False
Q40163	Solanum subgen. Lycopersicon	Plants	138	False
Q40459	Nicotiana	Plants	332	False
Q40519	Nicotiana	Plants	136	False
Q41048	Zea	Plants	217	False
Q41643	Volvox	Plants	202	False
Q41806	Zea	Plants	213	False
Q42689	Chlamydomonas	Plants	380	False
Q43744	Brassica	Plants	341	False
Q49KT5	Eucalyptus globulus	Plants	93	False
Q49KT9	Eucalyptus globulus	Plants	113	False
Q49KU1	Eucalyptus globulus	Plants	91	False
Q49KV0	Eucalyptus globulus	Plants	52	False
Q49KV8	Eucalyptus globulus	Plants	92	False
Q49KV9	Eucalyptus globulus	Plants	160	False
Q49KW0	Eucalyptus globulus	Plants	216	False
Q49KW1	Eucalyptus globulus	Plants	135	False
Q49KW2	Eucalyptus globulus	Plants	122	False
Q49KW3	Eucalyptus globulus	Plants	134	False
Q49KW5	Eucalyptus globulus	Plants	138	False
Q49KX4	Eucalyptus globulus	Plants	123	False
Q49KX6	Eucalyptus globulus	Plants	117	False
Q49KX7	Eucalyptus globulus	Plants	101	False
Q49L00	Eucalyptus globulus	Plants	100	False
Q49L09	Eucalyptus globulus	Plants	236	False
Q49L16	Eucalyptus globulus	Plants	77	False
Q49L17	Eucalyptus globulus	Plants	503	False
Q49U13	Equisetum	Plants	476	False
Q4FG66	Nuphar	Plants	238	False
Q4FG71	Ranunculus	Plants	217	False
Q4FG72	Nuphar	Plants	218	False
Q4FG73	Ginkgo	Plants	218	False
Q4G343	Emiliania	Other	156	False
Q4G344	Emiliania	Other	125	False
Q4G345	Emiliania	Other	70	False
Q4G346	Emiliania	Other	131	False
Q4G348	Emiliania	Other	130	False
Q4G353	Emiliania	Other	181	False
Q4G354	Emiliania	Other	132	False
Q4G355	Emiliania	Other	182	False
Q4G356	Emiliania	Other	121	False
Q4G357	Emiliania	Other	82	False
Q4G358	Emiliania	Other	138	False
Q4G359	Emiliania	Other	216	False
